"";"Track.Name";"Artist";"Duration"
"1";"";"";"0"
"2";"Merry+Christmas,+Happy+Holidays";"*NSYNC";"0"
"3";"Bande+organisée";"13+Organisé";""
"4";"Extasy";"187+Strassenbande";"2:54"
"5";"High+Life";"187+Strassenbande";"4:01"
"6";"Millionär";"187+Strassenbande";"2:40"
"7";"Mit+den+Jungz";"187+Strassenbande";"3:53"
"8";"Vielen+Dank";"187+Strassenbande";"3:27"
"9";"4+AM";"2+Chainz";"4:16"
"10";"Bigger+Than+You+(feat.+Drake+&+Quavo)";"2+Chainz";"3:45"
"11";"Good+Drank";"2+Chainz";"3:42"
"12";"It%27s+A+Vibe";"2+Chainz";"3:30"
"13";"Momma+I+Hit+A+Lick+(feat.+Kendrick+Lamar)";"2+Chainz";"2:53"
"14";"Rule+The+World+(feat.+Ariana+Grande)";"2+Chainz";"4:05"
"15";"Whip+(feat.+Travis+Scott)";"2+Chainz";"3:46"
"16";"1.5";"21+Savage";"2:28"
"17";"4L";"21+Savage";"4:48"
"18";"a+lot";"21+Savage";"4:50"
"19";"a&t";"21+Savage";"4:14"
"20";"all+my+friends";"21+Savage";"3:31"
"21";"asmr";"21+Savage";"2:51"
"22";"Bad+Business";"21+Savage";"2:42"
"23";"ball+w/o+you";"21+Savage";"3:15"
"24";"Bank+Account";"21+Savage";"3:40"
"25";"Brand+New+Draco";"21+Savage";"3:22"
"26";"break+da+law";"21+Savage";"2:57"
"27";"can%27t+leave+without+it";"21+Savage";"3:25"
"28";"Close+My+Eyes";"21+Savage";"4:52"
"29";"Darth+Vader";"21+Savage";"3:49"
"30";"Disrespectful";"21+Savage";"2:40"
"31";"Famous";"21+Savage";"3:54"
"32";"Ghostface+Killers";"21+Savage";"4:29"
"33";"Glock+In+My+Lap";"21+Savage";"3:13"
"34";"good+day";"21+Savage";"4:02"
"35";"gun+smoke";"21+Savage";"2:47"
"36";"Immortal";"21+Savage";"4:15"
"37";"Intro";"21+Savage";"1:10"
